"fips" "longitude" "latitude"
"36793" 27155 -96.4721145629883 45.7718925476074
"36849" 27157 -92.23974609375 44.2793388366699
"36905" 27159 -94.971321105957 46.5858497619629
"36961" 27161 -93.5872497558594 44.0220680236816
"37017" 27163 -92.8884124755859 45.053279876709
"37073" 27165 -94.6141586303711 43.9780960083008
"37129" 27167 -96.462272644043 46.3566398620605
"37185" 27169 -91.768424987793 43.9769973754883
"37241" 27171 -93.9718856811523 45.1755599975586
"37297" 27173 -95.8741455078125 44.7121734619141
"37353" 29001 -92.600830078125 40.1906051635742
"37409" 29003 -94.8044357299805 39.9810104370117
"37465" 29005 -95.423583984375 40.4312362670898
"37521" 29007 -91.8287734985352 39.2117767333984
"37689" 29013 -94.3382186889648 38.2584381103516
"37745" 29015 -93.290901184082 38.2949447631836
"37801" 29017 -90.0260162353516 37.321605682373
"37857" 29019 -92.3100662231445 38.9935340881348
"37913" 29021 -94.8066940307617 39.6609268188477
"37969" 29023 -90.4114532470703 36.714111328125
"38025" 29025 -93.9828109741211 39.6559181213379
"38081" 29027 -91.9226150512695 38.8438339233398
"38193" 29031 -89.6810150146484 37.3732566833496
"38249" 29033 -93.4860763549805 39.4328880310059
"38361" 29037 -94.3438034057617 38.6477928161621
"38417" 29039 -93.85791015625 37.7240791320801
"38473" 29041 -92.9502487182617 39.5065116882324
"38585" 29045 -91.7371520996094 40.4078102111816
"38641" 29047 -94.4231796264648 39.3053131103516
"38697" 29049 -94.4047088623047 39.601245880127
"38753" 29051 -92.277702331543 38.5119132995605
"38809" 29053 -92.8076477050781 38.8409729003906
"38921" 29057 -93.8487854003906 37.4326515197754
"39033" 29061 -93.9878616333008 39.9609718322754
"39089" 29063 -94.4078674316406 39.8911056518555
"39257" 29069 -90.0872116088867 36.2701416015625
"39313" 29071 -91.0717086791992 38.4158821105957
"39369" 29073 -91.5070190429688 38.4380950927734
"39425" 29075 -94.4093627929688 40.2109909057617
"39537" 29079 -93.5642166137695 40.1140632629395
"39593" 29081 -93.9922714233398 40.3547401428223
"39649" 29083 -93.7893905639648 38.3878059387207
"39761" 29087 -95.2185668945312 40.096435546875
"39817" 29089 -92.6864929199219 39.1325569152832
"39985" 29095 -94.3441772460938 39.0058708190918
"40041" 29097 -94.3389358520508 37.2041282653809
"40097" 29099 -90.5406112670898 38.2760734558105
"40153" 29101 -93.7960205078125 38.7467765808105
"40209" 29103 -92.1455917358398 40.1295013427734
"40321" 29107 -93.7809295654297 39.072151184082
"40377" 29109 -93.8355865478516 37.104866027832
"40433" 29111 -91.7196044921875 40.0969924926758
"40489" 29113 -90.957763671875 39.0602531433105
"40545" 29115 -93.1069259643555 39.8690643310547
"40601" 29117 -93.5478057861328 39.7816467285156
"40713" 29121 -92.5679016113281 39.8268775939941
"40825" 29125 -91.922721862793 38.1623229980469
"40881" 29127 -91.619255065918 39.7994003295898
"40937" 29129 -93.5690231323242 40.422550201416
"40993" 29131 -92.4253005981445 38.2129859924316
"41049" 29133 -89.2901763916016 36.8300132751465
"41105" 29135 -92.5871429443359 38.6289405822754
"41161" 29137 -92.0016326904297 39.4967498779297
"41217" 29139 -91.4618682861328 38.9331893920898
"41273" 29141 -92.8850021362305 38.4215431213379
